Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
VENTILADOR SOBREMESA FM,SB140,40.0,26.69,,ALMCE,,,Storable Product,ALMCE_SB140
CALEFACTOR MURAL TOSGO,TOCAQH12F,15.0,10.52,,ALMCE,,,Storable Product,ALMCE_TOCAQH12F
MICROONDAS CORBERÓ 20L 700W,CMICM4020W,69.0,34.31,Microondas,ALMCE,,,Storable Product,ALMCE_CMICM4020W
MICROOONDAS CORBERÓ BLANCO ,CMICM5020GW,75.0,47.06,Microondas,ALMCE,,,Storable Product,ALMCE_CMICM5020GW
MICROONDAS CORBERÓ 20L 700W,CMICM6020GX,99.0,67.74,Microondas,ALMCE,,,Storable Product,ALMCE_CMICM6020GX
MICROONDAS CORBERÓ VINTAGE ,CMICG270WOODN,89.0,51.77,Microondas,ALMCE,,,Storable Product,ALMCE_CMICG270WOODN
MICROONDAS CANDY,CMXG20DS,110.0,72.57,Microondas,ALMCE,,,Storable Product,ALMCE_CMXG20DS
"TV LED TCL 55""",55P61B,399.0,248.91,Televisores,ALMCE,,,Storable Product,ALMCE_55P61B
CAFETERA MOULINEX,FG152832,35.0,22.18,Cafeteras,ALMCE,,,Storable Product,ALMCE_FG152832
CAFETERA COFFE 66 SMART,1555,40.0,28.88,Cafeteras,ALMCE,,,Storable Product,ALMCE_1555
CAFETERA CECOTEC POWER EXPRES 20,1503,69.0,45.64,Cafeteras,ALMCE,,,Storable Product,ALMCE_1503
CAFETERA INOX ORBEGOZO INDUC 12T,KFI1260,30.0,14.78,Cafeteras,ALMCE,,,Storable Product,ALMCE_KFI1260
CAMPANA BEKO - 90CM - CRISTAL ,BHCA94640BH,245.0,163.78,,ALMCE,,,Storable Product,ALMCE_BHCA94640BH
CAMPANA BEKO - 90CM   ,BHCB96641BBHS,329.0,163.78,,ALMCE,,,Storable Product,ALMCE_BHCB96641BBHS
CAMPANA CORBERÓ BLANCO 67W,CCSC60222CVW,59.0,39.78,,ALMCE,,,Storable Product,ALMCE_CCSC60222CVW
CAMPANA CRISTAL BLANCO 60CM,VICTORIA960W,0.0,145.88,,ALMCE,,,Storable Product,ALMCE_VICTORIA960W
CAMPANA CANDY - 60CM - INOX,CMB655XGG,169.0,112.27,,ALMCE,,,Storable Product,ALMCE_CMB655XGG
CAMPANA CANDY - 90CM - BLANCA,CVMA90W,279.0,257.73,,ALMCE,,,Storable Product,ALMCE_CVMA90W
CAMPANA CANDY - 70CM - INOX,CCE1171X,149.0,87.8,,ALMCE,,,Storable Product,ALMCE_CCE1171X
CAMPANA INOX 90CM,CERTOSAIXA90PB,135.0,85.25,,ALMCE,,,Storable Product,ALMCE_CERTOSAIXA90PB
CAMPANA CRISTAL NEGRO 90CM,KITTYBLA90,245.0,151.94,,ALMCE,,,Storable Product,ALMCE_KITTYBLA90
CAMPANA CRISTAL BLANCO 90CM,KITTYWHA90,259.0,160.19,,ALMCE,,,Storable Product,ALMCE_KITTYWHA90
PLANCHA COCINA ORBEGOZO,TB2203,38.0,26.0,,ALMCE,,,Storable Product,ALMCE_TB2203
PLANCHA PELO ROWENTA OPTILIS,SF3210F0,29.0,18.78,,ALMCE,,,Storable Product,ALMCE_SF3210F0
SECADOR BAMBA IONICARE,4210,30.0,20.45,,ALMCE,,,Storable Product,ALMCE_4210
PLANCHA PELO CECOTEC-BAMBA RITUALCARE,4248,35.0,22.5,,ALMCE,,,Storable Product,ALMCE_4248
CEPILLO CECOTEC AIRFLOW,3385,50.0,32.9,,ALMCE,,,Storable Product,ALMCE_3385
SECADOR UFESA 1600W,TRIP&DRY,19.0,12.5,,ALMCE,,,Storable Product,ALMCE_TRIP&DRY
