default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
CHOR200,HORNILLO CORBERÓ  GAS PORTATIL,consu,27.96,49.0,,ALMCE,True,True,True
2502400,GRIFO CATA CBA/C,consu,41.04,65.0,,ALMCE,True,True,True
2624007,FREGADERO CATA CB 40-40 / D INOX ,consu,48.57,79.0,,ALMCE,True,True,True
CCVBR6350,VITRO CORBERÓ 3 FUEGOS,consu,108.48,175.0,,ALMCE,True,True,True
3TS993BP,"(BALAY) LAVADORA 9KG, 1200 RPM ""A""",consu,324.25,535.0,Lavadoras,BSH,True,True,True
3TS395BDS,"(BALAY) LAVADORA 9KG, autodosificación 1400 RPM ""A""",consu,495.38,589.0,Lavadoras,BSH,True,True,True
WM12N265ES,(SIEMENS) LAVADORA ,consu,401.38,489.0,Lavadoras,BSH,True,True,True
WG44G2ZAES,(SIEMENS) LAVADORA 9KG - 1400RPM ,consu,462.48,569.0,Lavadoras,BSH,True,True,True
WUU28T66ES,(BOSCH) LAVADORA ,consu,425.59,559.0,Lavadoras,BSH,True,True,True
WGH244A0ES,(BOSCH) LAVADORA 9KG - 1400 RPM - SERIE 6,consu,383.19,549.0,Lavadoras,BSH,True,True,True
3KFE563MI,"(BALAY) COMBI 1,86X60CM INOX - N.F",consu,435.0,699.0,,BSH,True,True,True
KGN36VWEA,"(BOSCH) COMBI BLANCO 1,86X60 - NF - ",consu,424.0,679.0,,BSH,True,True,True
3HB4821X3,(BALAY) HORNO PIROLITICO,consu,456.34,650.0,Hornos,BSH,True,True,True
TAS1002NV,(BOSCH) CAFETERA TASSIMO MULTIBEBIDA - NEGRA,consu,20.63,39.0,Cafeteras,BSH,True,True,True
TAS1103C3B,(BOSCH) CAFETERA TASSIMO MULTIBEBIDA - ROJA,consu,23.58,45.0,Cafeteras,BSH,True,True,True
TKA2M114,(BOSCH) CAFETERA DE GOTEO MYMOMENT - ROJO,consu,32.33,50.0,Cafeteras,BSH,True,True,True
MSM67160,(BOSCH) BATIDORA DE VARILLA - MANO - ERGOMIXX,consu,32.43,55.0,Batidoras,BSH,True,True,True
MMR08R2,(BOSCH) PICADORA UNIVERSAL - 400W - ROJO,consu,20.64,35.0,,BSH,True,True,True
BHB3525,BATIDORA VARILLA CON ACCESORIOS,consu,22.09,35.0,Batidoras,BECKEN,True,True,True
